CAX-DAC001,DESENHO ASSISTIDO POR COMPUTADOR - 66h,,,
CAX-DET003,DESENHO TÉCNICO E METROLOGIA - 66h,,,
CAX-EDM001,ENSAIOS DOS MATERIAIS - 66h,,,
CAX-EEI003,EMPREENDEDORISMO E INOVAÇÃO I - 33h,,,
CAX-EIN001,ELETRICIDADE INDUSTRIAL - 33h,,,
CAX-EQD001,EQUAÇÕES DIFERENCIAIS I - 66h,,,
CAX-ERH001,ÉTICA E RELAÇÕES HUMANAS - 33h,,,
CAX-EST012,ESTÁGIO CURRICULAR OBRIGATÓRIO - 160h,,,
CAX-FCM001,FUNDAMENTOS DA CONFORMAÇÃO MECÂNICA - 66h,,,
CAX-FDS001,FUNDAMENTOS DE SIDERURGIA - 33h,,,
CAX-FIS004,FÍSICA I - 66h,,,
CAX-FIS005,FÍSICA II - 66h,,,
CAX-FIS006,FÍSICA III - 66h,,,
CAX-FSQ001,FÍSICO-QUÍMICA - 66h,,,
CAX-FUN003,FUNDIÇÃO I - 33h,,,
CAX-FUN004,FUNDIÇÃO II - 66h,,,
CAX-FUN005,FUNDIÇÃO III - 33h,,,
CAX-GDC002,GESTÃO DE CUSTOS - 66h,,,
CAX-GDP002,GESTÃO DE PESSOAS I - 66h,,,
CAX-GDP003,GESTÃO DE PROJETOS - 66h,,,
CAX-HES001,HIGIENE E SEGURANÇA NO TRABALHO - 33h,,,
CAX-IEM002,INTRODUÇÃO À ENGENHARIA METALÚRGICA - 50h,,,
CAX-INF003,INFORMÁTICA APLICADA I - 66h,,,
CAX-ING002,INGLÊS INSTRUMENTAL - 33h,,,
CAX-LIB003,LIBRAS - 66h,,,
CAX-LPT001,LEITURA E PRODUÇÃO DE TEXTOS - 66h,,,
CAX-MDS001,MECÂNICA DOS SÓLIDOS - 66h,,,
CAX-MEM001,MOLDES E MATRIZES - 66h,,,
CAX-MEX002,METALURGIA EXTRATIVA - 33h,,,
CAX-MMC001,METALURGIA MECÂNICA - 66h,,,
CAX-MTF001,METALURGIA FÍSICA - 33h,,,
CAX-OPP001,ORIENTAÇÃO DA PRÁTICA PROFISSIONAL - 16h,,,
CAX-PAP001,PROGRAMAÇÃO PARA AUTOMAÇÃO DE PROCESSOS - 66h,,,
CAX-PCM001,PROCESSOS DE CONFORMAÇÃO MECÂNICA - 66h,,,
